Фонетический алфавит;Русский
Источник;https://ru.wikipedia.org/wiki/Фонетический_алфавит
Буква;Слово
А;А́нна (Анто́н, Алексей)
Б;Бори́с
В;Васи́лий
Г;Григо́рий (Гали́на)
Д;Дми́трий
Е;Еле́на
Ё;Еле́на (ёлка)
Ж;Же́ня (жук)
З;Зинаи́да (Зо́я)
И;Ива́н
Й;Ива́н кра́ткий (йот)
К;Константи́н (килова́тт)
Л;Леони́д
М;Михаи́л (Мари́я)
Н;Никола́й
О;О́льга
П;Па́вел
Р;Рома́н (ра́дио)
С;Семён (Серге́й)
Т;Татья́на (Тама́ра)
У;Улья́на
Ф;Фёдор
Х;Харито́н
Ц;ца́пля (центр)
Ч;челове́к
Ш;Шу́ра
Щ;щу́ка
Ъ;твёрдый знак
Ы;е́ры (и́грек)
Ь;мя́гкий знак (знак, икс)
Э;э́хо (Э́мма, Эмилия)
Ю;Ю́рий
Я;Я́ков
